record_type,source_file,source_sr_no,state,constituency,mp_name,house,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Recommended,mplads_synthetic_feed.csv,23,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP488/2025-2026/100005,Drinking Water & Sanitation,Deep Tube Well Drilling,Deep Tube Well Drilling at Varanasi village ward 2,2025-12-05,,,,,440000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,24,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP488/2025-2026/100005,Drinking Water & Sanitation,Deep Tube Well Drilling,Deep Tube Well Drilling at Varanasi village ward 2,,2026-01-19,,,,,440000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,25,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP488/2025-2026/100005,Drinking Water & Sanitation,Deep Tube Well Drilling,Deep Tube Well Drilling at Varanasi village ward 2,,,2026-07-04,,,,,431500.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,26,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP488/2025-2026/100005,,Deep Tube Well Drilling,Deep Tube Well Drilling at Varanasi village ward 2,,,,2026-03-11,,,,,215800.0,,,,Payment Released,SHREE GANESH TRADERS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,27,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP488/2025-2026/100005,,Deep Tube Well Drilling,Deep Tube Well Drilling at Varanasi village ward 2,,,,2026-05-16,,,,,215700.0,,,,Payment Released,SHREE GANESH TRADERS,,,
Works Recommended,mplads_synthetic_feed.csv,28,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,"Roads, Bridges and Culverts",Construction of CC Road,Construction of CC Road at Varanasi village ward 9,2025-11-02,,,,,3514000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,29,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,"Roads, Bridges and Culverts",Construction of CC Road,Construction of CC Road at Varanasi village ward 9,,2025-12-13,,,,,3514000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,30,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,"Roads, Bridges and Culverts",Construction of CC Road,Construction of CC Road at Varanasi village ward 9,,,2026-06-10,,,,,3261000.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,31,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,,Construction of CC Road,Construction of CC Road at Varanasi village ward 9,,,,2026-01-19,,,,,815200.0,,,,Payment Released,BHARAT WORKS & CO,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,32,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,,Construction of CC Road,Construction of CC Road at Varanasi village ward 9,,,,2026-02-20,,,,,815200.0,,,,Payment Released,BHARAT WORKS & CO,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,33,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,,Construction of CC Road,Construction of CC Road at Varanasi village ward 9,,,,2026-04-04,,,,,815200.0,,,,Payment Released,BHARAT WORKS & CO,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,34,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP680/2025-2026/100006,,Construction of CC Road,Construction of CC Road at Varanasi village ward 9,,,,2026-05-10,,,,,815400.0,,,,Payment Released,BHARAT WORKS & CO,,,
MP Allocated Limit,mplads_synthetic_feed.csv,35,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
Works Recommended,mplads_synthetic_feed.csv,36,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP193/2025-2026/100007,Repair and Renovation,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 13,2024-06-05,,,,,1051000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,37,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP193/2025-2026/100007,Repair and Renovation,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 13,,2024-06-25,,,,,1051000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,38,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP193/2025-2026/100007,Repair and Renovation,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 13,,,2024-11-11,,,,,1007100.0,,,,,,,,,No
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,39,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP193/2025-2026/100007,,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 13,,,,2024-07-27,,,,,503600.0,,,,Payment Released,RAMA CONSTRUCTIONS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,40,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP193/2025-2026/100007,,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 13,,,,2024-11-11,,,,,503500.0,,,,Payment Released,RAMA CONSTRUCTIONS,,,
Works Recommended,mplads_synthetic_feed.csv,41,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP838/2025-2026/100008,Normal/Others,Development of Park,Development of Park at Lucknow village ward 6,2026-02-07,,,,,422000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,42,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP838/2025-2026/100008,Normal/Others,Development of Park,Development of Park at Lucknow village ward 6,,2026-03-06,,,,,422000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,43,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP838/2025-2026/100008,Normal/Others,Development of Park,Development of Park at Lucknow village ward 6,,,2026-07-15,,,,,417000.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,44,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP838/2025-2026/100008,,Development of Park,Development of Park at Lucknow village ward 6,,,,2026-03-28,,,,,208500.0,,,,Payment Released,MODERN WATER TECH,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,45,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP838/2025-2026/100008,,Development of Park,Development of Park at Lucknow village ward 6,,,,2026-07-13,,,,,208500.0,,,,Payment Released,MODERN WATER TECH,,,
Works Recommended,mplads_synthetic_feed.csv,46,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,"Roads, Bridges and Culverts",Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,2024-07-22,,,,,3318000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,47,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,"Roads, Bridges and Culverts",Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,,2024-08-10,,,,,3318000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,48,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,"Roads, Bridges and Culverts",Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,,,2024-12-03,,,,,3563400.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,49,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,,Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,,,,2024-08-10,,,,,890800.0,,,,Payment Released,BHARAT WORKS & CO,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,50,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,,Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,,,,2024-09-10,,,,,890800.0,,,,Payment Released,BHARAT WORKS & CO,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,51,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,,Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,,,,2024-11-04,,,,,890800.0,,,,Payment Released,BHARAT WORKS & CO,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,52,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP405/2025-2026/100009,,Construction of Small Culvert,Construction of Small Culvert at Lucknow village ward 17,,,,2024-11-15,,,,,891000.0,,,,Payment Released,BHARAT WORKS & CO,,,
Works Recommended,mplads_synthetic_feed.csv,53,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP159/2025-2026/100010,Public Health & Community Centers,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Lucknow village ward 18,2024-03-21,,,,,1256000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,54,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP159/2025-2026/100010,Public Health & Community Centers,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Lucknow village ward 18,,2024-04-05,,,,,1256000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,55,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP159/2025-2026/100010,Public Health & Community Centers,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Lucknow village ward 18,,,2024-08-22,,,,,1352900.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,56,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP159/2025-2026/100010,,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Lucknow village ward 18,,,,2024-05-10,,,,,451000.0,,,,Payment Released,HINDUSTAN ENTERPRISES,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,57,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP159/2025-2026/100010,,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Lucknow village ward 18,,,,2024-05-31,,,,,451000.0,,,,Payment Released,HINDUSTAN ENTERPRISES,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,58,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP159/2025-2026/100010,,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Lucknow village ward 18,,,,2024-07-22,,,,,450900.0,,,,Payment Released,HINDUSTAN ENTERPRISES,,,
Works Recommended,mplads_synthetic_feed.csv,59,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP316/2025-2026/100011,Repair and Renovation,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 12,2025-12-07,,,,,1396000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,60,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP316/2025-2026/100011,Repair and Renovation,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 12,,2025-12-29,,,,,1396000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,61,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP316/2025-2026/100011,Repair and Renovation,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 12,,,2026-05-03,,,,,1448100.0,,,,,,,,,No
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,62,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP316/2025-2026/100011,,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 12,,,,2026-01-13,,,,,482700.0,,,,Payment Released,JAI HO CONTRACTORS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,63,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP316/2025-2026/100011,,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 12,,,,2026-02-22,,,,,482700.0,,,,Payment Released,JAI HO CONTRACTORS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,64,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP316/2025-2026/100011,,Repair of Village Drinking Water Pipeline,Repair of Village Drinking Water Pipeline at Lucknow village ward 12,,,,2026-03-26,,,,,482700.0,,,,Payment Released,JAI HO CONTRACTORS,,,
Works Recommended,mplads_synthetic_feed.csv,65,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP702/2025-2026/100012,Electrification & Solar Power,Supply & Installation of Solar Street Lights,Supply & Installation of Solar Street Lights at Lucknow village ward 2,2024-01-08,,,,,990000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,66,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP702/2025-2026/100012,Electrification & Solar Power,Supply & Installation of Solar Street Lights,Supply & Installation of Solar Street Lights at Lucknow village ward 2,,2024-01-22,,,,,990000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,67,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP702/2025-2026/100012,Electrification & Solar Power,Supply & Installation of Solar Street Lights,Supply & Installation of Solar Street Lights at Lucknow village ward 2,,,2024-06-10,,,,,949200.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,68,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP702/2025-2026/100012,,Supply & Installation of Solar Street Lights,Supply & Installation of Solar Street Lights at Lucknow village ward 2,,,,2024-02-26,,,,,474600.0,,,,Payment Released,NEW TECH SOLAR SOLUTIONS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,69,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP702/2025-2026/100012,,Supply & Installation of Solar Street Lights,Supply & Installation of Solar Street Lights at Lucknow village ward 2,,,,2024-06-02,,,,,474600.0,,,,Payment Released,NEW TECH SOLAR SOLUTIONS,,,
Works Recommended,mplads_synthetic_feed.csv,70,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP235/2025-2026/100013,Education & School Infrastructure,School Boundary Wall Construction,School Boundary Wall Construction at Lucknow village ward 4,2025-08-13,,,,,1959000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,71,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP235/2025-2026/100013,Education & School Infrastructure,School Boundary Wall Construction,School Boundary Wall Construction at Lucknow village ward 4,,2025-09-22,,,,,1959000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,72,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP235/2025-2026/100013,Education & School Infrastructure,School Boundary Wall Construction,School Boundary Wall Construction at Lucknow village ward 4,,,2025-12-13,,,,,1964700.0,,,,,,,,,No
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,73,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP235/2025-2026/100013,,School Boundary Wall Construction,School Boundary Wall Construction at Lucknow village ward 4,,,,2025-10-05,,,,,654900.0,,,,Payment Released,HINDUSTAN ENTERPRISES,,,
